epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
38,,,,,,5147,,,,,,,,,,0.25485217571258545,362.2413024902344,61.41667175292969,28.908552169799805,452.56646728515625
38,,,,61.84229278564453,28.84189796447754,5147,,,,,,,0.20858190953731537,135219.09375,135309.703125,,,,,
,0.01,0.9,0.01,,,5148,,,,,,,,,,,,,,
39,,,,,,5279,,,,,,,,,,0.2516675591468811,361.6846008300781,62.23027420043945,29.008628845214844,452.9236145019531
39,,,,61.966224670410156,28.93195152282715,5279,,,,,,,0.2072109431028366,134644.25,134735.125,,,,,
,0.01,0.9,0.01,,,5280,,,,,,,,,,,,,,
40,,,,,,5411,,,,,,,,,,0.2514323592185974,361.77337646484375,61.720558166503906,29.120813369750977,452.61480712890625
40,,,,62.257545471191406,29.03611183166504,5411,,,,,,,0.20934633910655975,134624.828125,134716.125,,,,,
,0.01,0.9,0.01,,,5412,,,,,,,,,,,,,,
41,,,,,,5543,,,,,,,,,,0.2554047107696533,360.52471923828125,62.84166717529297,29.22100067138672,452.58734130859375
41,,,,62.185546875,29.147653579711914,5543,,,,,,,0.20928341150283813,135049.765625,135141.046875,,,,,
,0.01,0.9,0.01,,,5544,,,,,,,,,,,,,,
42,,,,,,5675,,,,,,,,,,0.25600868463516235,361.7347106933594,62.880714416503906,29.31429100036621,453.92974853515625
42,,,,62.20669937133789,29.24337387084961,5675,,,,,,,0.2098231464624405,135071.8125,135163.28125,,,,,
,0.01,0.9,0.01,,,5676,,,,,,,,,,,,,,
43,,,,,,5807,,,,,,,,,,0.2540733516216278,361.14300537109375,61.49113082885742,29.40383529663086,452.0379333496094
43,,,,62.643524169921875,29.336084365844727,5807,,,,,,,0.21099001169204712,134228.4375,134320.421875,,,,,
,0.01,0.9,0.01,,,5808,,,,,,,,,,,,,,
44,,,,,,5939,,,,,,,,,,0.2536608576774597,361.8188171386719,62.28802490234375,29.49178123474121,453.5986328125
44,,,,62.0491943359375,29.42641830444336,5939,,,,,,,0.20992591977119446,134794.515625,134886.015625,,,,,
,0.01,0.9,0.01,,,5940,,,,,,,,,,,,,,
45,,,,,,6071,,,,,,,,,,0.2543412446975708,360.368896484375,62.35411071777344,29.56793212890625,452.29107666015625
45,,,,61.772499084472656,29.512374877929688,6071,,,,,,,0.21152813732624054,134769.34375,134860.65625,,,,,
,0.01,0.9,0.01,,,6072,,,,,,,,,,,,,,
46,,,,,,6203,,,,,,,,,,0.25330784916877747,359.7385559082031,63.61848449707031,29.645597457885742,453.0026550292969
46,,,,62.942203521728516,29.58871841430664,6203,,,,,,,0.21036440134048462,134788.6875,134881.21875,,,,,
,0.01,0.9,0.01,,,6204,,,,,,,,,,,,,,
47,,,,,,6335,,,,,,,,,,0.2556321918964386,362.8017883300781,63.138004302978516,29.742572784423828,455.68231201171875
47,,,,63.42889404296875,29.67018699645996,6335,,,,,,,0.21092762053012848,134791.265625,134884.359375,,,,,
,0.01,0.9,0.01,,,6336,,,,,,,,,,,,,,
48,,,,,,6467,,,,,,,,,,0.2517143487930298,360.6693420410156,63.48957824707031,29.837467193603516,453.9963684082031
48,,,,63.166038513183594,29.765838623046875,6467,,,,,,,0.2105550616979599,134837.21875,134930.125,,,,,
,0.003,0.9,0.01,,,6468,,,,,,,,,,,,,,
49,,,,,,6599,,,,,,,,,,0.2571468651294708,359.6492919921875,62.1309928894043,29.867952346801758,451.6482849121094
49,,,,62.58906555175781,29.844877243041992,6599,,,,,,,0.21380439400672913,134120.34375,134212.765625,,,,,
,0.003,0.9,0.01,,,6600,,,,,,,,,,,,,,
50,,,,,,6731,,,,,,,,,,0.25598278641700745,359.1694030761719,61.30051803588867,29.902559280395508,450.3724365234375
50,,,,61.691646575927734,29.87649917602539,6731,,,,,,,0.21443524956703186,134065.078125,134156.65625,,,,,
,0.003,0.9,0.01,,,6732,,,,,,,,,,,,,,
51,,,,,,6863,,,,,,,,,,0.25457218289375305,359.5664367675781,60.341148376464844,29.937644958496094,449.84515380859375
51,,,,60.752464294433594,29.910953521728516,6863,,,,,,,0.21290460228919983,134065.203125,134155.875,,,,,
,0.003,0.9,0.01,,,6864,,,,,,,,,,,,,,
52,,,,,,6995,,,,,,,,,,0.2566702365875244,359.01116943359375,59.833614349365234,29.975387573242188,448.8201599121094
52,,,,60.12165451049805,29.94717025756836,6995,,,,,,,0.21696837246418,133975.421875,134065.5,,,,,
,0.003,0.9,0.01,,,6996,,,,,,,,,,,,,,
53,,,,,,7127,,,,,,,,,,0.2572038769721985,359.6953430175781,59.08013916015625,30.00986671447754,448.78533935546875
53,,,,59.531883239746094,29.984434127807617,7127,,,,,,,0.21534407138824463,134004.015625,134093.515625,,,,,
,0.003,0.9,0.01,,,7128,,,,,,,,,,,,,,
54,,,,,,7259,,,,,,,,,,0.25464320182800293,359.9104309082031,58.82064437866211,30.044536590576172,448.775634765625
54,,,,58.81623840332031,30.018470764160156,7259,,,,,,,0.2146977186203003,133898.953125,133987.828125,,,,,
,0.003,0.9,0.01,,,7260,,,,,,,,,,,,,,
55,,,,,,7391,,,,,,,,,,0.257540762424469,359.16650390625,58.402587890625,30.07651138305664,447.6457214355469
55,,,,58.37506103515625,30.053470611572266,7391,,,,,,,0.21284738183021545,134191.953125,134280.375,,,,,
,0.0009,0.9,0.01,,,7392,,,,,,,,,,,,,,
56,,,,,,7523,,,,,,,,,,0.2577868402004242,359.1341857910156,57.99159622192383,30.086929321289062,447.2127380371094
56,,,,58.206077575683594,30.07923698425293,7523,,,,,,,0.2148112952709198,133694.375,133782.65625,,,,,
,0.0009,0.9,0.01,,,7524,,,,,,,,,,,,,,
57,,,,,,7655,,,,,,,,,,0.25847554206848145,358.709228515625,57.87440872192383,30.09755516052246,446.6809997558594
57,,,,57.8875732421875,30.08966827392578,7655,,,,,,,0.21599765121936798,133763.59375,133851.53125,,,,,
,0.0009,0.9,0.01,,,7656,,,,,,,,,,,,,,
58,,,,,,7787,,,,,,,,,,0.2566913664340973,359.05865478515625,57.498382568359375,30.107913970947266,446.6649169921875
58,,,,57.73756408691406,30.100055694580078,7787,,,,,,,0.21494080126285553,133769.6875,133857.5625,,,,,
,0.0009,0.9,0.01,,,7788,,,,,,,,,,,,,,
59,,,,,,7919,,,,,,,,,,0.2572309076786041,358.7345275878906,57.46586990356445,30.118162155151367,446.3184509277344
59,,,,57.46657180786133,30.110586166381836,7919,,,,,,,0.21589607000350952,133702.84375,133790.46875,,,,,
,0.0009,0.9,0.01,,,7920,,,,,,,,,,,,,,
60,,,,,,8051,,,,,,,,,,0.2580324411392212,358.96142578125,57.05840301513672,30.128602981567383,446.14862060546875
60,,,,57.2512092590332,30.120906829833984,8051,,,,,,,0.21674208343029022,133641.28125,133728.6875,,,,,
,0.0009,0.9,0.01,,,8052,,,,,,,,,,,,,,
61,,,,,,8183,,,,,,,,,,0.25917932391166687,358.96136474609375,57.07136154174805,30.138212203979492,446.1710510253906
61,,,,57.06885528564453,30.13096046447754,8183,,,,,,,0.21533969044685364,133509.421875,133596.609375,,,,,
,0.0009,0.9,0.01,,,8184,,,,,,,,,,,,,,
62,,,,,,8315,,,,,,,,,,0.2593107223510742,358.65203857421875,56.813743591308594,30.147436141967773,445.61328125
62,,,,56.896087646484375,30.140615463256836,8315,,,,,,,0.2151060402393341,133907.890625,133994.90625,,,,,
,0.0009,0.9,0.01,,,8316,,,,,,,,,,,,,,
63,,,,,,8447,,,,,,,,,,0.2569091320037842,358.8367004394531,56.66353988647461,30.15694808959961,445.65716552734375
63,,,,56.75166320800781,30.149738311767578,8447,,,,,,,0.2171345204114914,134127.484375,134214.34375,,,,,
,0.0009,0.9,0.01,,,8448,,,,,,,,,,,,,,
64,,,,,,8579,,,,,,,,,,0.2585921585559845,358.6267395019531,56.48045349121094,30.16595458984375,445.2731628417969
64,,,,56.5540657043457,30.159440994262695,8579,,,,,,,0.21590040624141693,133715.578125,133802.296875,,,,,
,0.0009,0.9,0.01,,,8580,,,,,,,,,,,,,,
65,,,,,,8711,,,,,,,,,,0.25780609250068665,358.7357177734375,56.21638488769531,30.17479133605957,445.1269836425781
65,,,,56.256935119628906,30.168100357055664,8711,,,,,,,0.21505329012870789,133605.15625,133691.5625,,,,,
,0.0009,0.9,0.01,,,8712,,,,,,,,,,,,,,
66,,,,,,8843,,,,,,,,,,0.25874051451683044,358.6639099121094,55.84043884277344,30.183732986450195,444.6881408691406
66,,,,56.07133102416992,30.177186965942383,8843,,,,,,,0.21687716245651245,133613.984375,133700.1875,,,,,
,0.0009,0.9,0.01,,,8844,,,,,,,,,,,,,,
67,,,,,,8975,,,,,,,,,,0.2587204575538635,358.493408203125,55.659576416015625,30.192588806152344,444.3455505371094
67,,,,55.72581100463867,30.185888290405273,8975,,,,,,,0.2157725691795349,133741.25,133827.21875,,,,,
68,,,,,,8976,0.21764318645000458,0.2593107223510742,0.4987349212169647,637.7122802734375,358.65203857421875,34.990352630615234,,,,,,,,
